variable,scale,scenario,temperature,data,model
'NEP','GLB','SSP126',-0.007391562,-9.15395814,'NorESM2-MM'
'NEP','GLB','SSP126',0.099108163,508.2947151,'NorESM2-MM'
'NEP','GLB','SSP126',0.161408094,443.9157574,'NorESM2-MM'
'NEP','GLB','SSP126',-0.073307048,360.2297966,'NorESM2-MM'
'NEP','GLB','SSP126',-0.02564834,-272.827937,'NorESM2-MM'
'NEP','GLB','SSP126',-0.021136084,-124.0016911,'NorESM2-MM'
'NEP','GLB','SSP126',0.11043706,766.6790726,'NorESM2-MM'
'NEP','GLB','SSP126',0.056905681,788.8625105,'NorESM2-MM'
'NEP','GLB','SSP126',0.27434529,758.5591168,'NorESM2-MM'
'NEP','GLB','SSP126',0.302212046,88.10776185,'NorESM2-MM'
'NEP','GLB','SSP126',-0.036321941,-226.7270509,'NorESM2-MM'
'NEP','GLB','SSP126',0.175707767,942.8062778,'NorESM2-MM'
'NEP','GLB','SSP126',0.224858034,840.0094187,'NorESM2-MM'
'NEP','GLB','SSP126',0.032936285,1439.164364,'NorESM2-MM'
